,Date,LocationStart,LocationEnd,Distance,TimeStart,TimeEnd,MPH
125,2017-04-11,PC,8528 Foxborough,10.8,16:12,17:00,13.44
126,2017-04-11,8528 Foxborough,Savage Library,1.5,,,
127,2017-04-11,Savage Library,8528 Foxborough,1.5,,,
128,2017-04-10,8528 Foxborough,PC,10.8,06:50,07:38,13.44
129,2017-04-10,PC,8528 Foxborough,10.8,16:15,16:58,15.0
130,2017-03-21,8528 Foxborough,Lake Elkhorn,5.7,,,
131,2017-03-21,Lake Elkhorn,8528 Foxborough,7.4,,,
132,2017-03-09,8528 Foxborough,PC,10.8,06:46,07:38,12.4
133,2017-03-09,PC,8528 Foxborough,10.8,16:46,17:28,15.36
134,2017-03-07,8528 Foxborough,PC,10.8,06:17,07:04,13.72
135,2017-03-07,PC,8528 Foxborough,10.8,15:46,16:38,12.4
136,2017-02-24,8528 Foxborough,PC,10.8,06:14,06:59,14.33
137,2017-02-24,PC,8528 Foxborough,10.8,15:53,16:40,13.72
138,2017-02-23,8528 Foxborough,Laurel TD Bank,6.4,,,
139,2017-02-23,Laurel TD Bank,Laurel WF Bank,0.7,,,
140,2017-02-23,Laurel WF Bank,Laurel M&T Bank,0.3,,,
141,2017-02-23,Laurel M&T Bank,8528 Foxborough,5.6,,,
142,2017-02-19,8528 Foxborough,Savage Library,1.6,,,
143,2017-02-19,Savage Library,8528 Foxborough,1.6,,,
144,2017-02-19,8528 Foxborough,Lake Kilt,10.7,,,
145,2017-02-19,Lake Kilt,8528 Foxborough,9.6,,,
146,2017-02-18,8528 Foxborough,Harris Teeter,5.2,,,
147,2017-02-18,Harris Teeter,SportClips,4.7,,,
148,2017-02-18,SportClips,8528 Foxborough,8.1,13:32,14:08,13.51
149,2017-02-08,8528 Foxborough,PC,10.8,06:11,06:59,13.44
150,2017-02-08,PC,8528 Foxborough,10.8,16:07,16:59,12.4
151,2016-10-25,8528 Foxborough,PC,10.8,06:20,07:04,14.66
152,2016-10-25,PC,8528 Foxborough,10.8,04:18,05:08,12.9
153,2016-10-25,8528 Foxborough,Savage Library,1.5,,,
154,2016-10-25,Savage Library,8528 Foxborough,1.5,,,
155,2016-10-22,8528 Foxborough,PC,10.8,07:02,07:43,15.73
156,2016-10-22,PC,8528 Foxborough,10.8,16:56,17:48,12.4
157,2016-10-16,2020,8528 Foxborough,0.8,,,
158,2016-10-16,8528 Foxborough,2020,0.8,,,
159,2016-10-16,2020,Jackson,10.4,,,
160,2016-10-16,Jackson,8528 Foxborough,8.9,,,
161,2016-10-08,8528 Foxborough,Lake Elkhorn,5.7,,,
162,2016-10-08,Lake Elkhorn,8528 Foxborough,7.4,,,
163,2016-10-06,8528 Foxborough,PC,10.8,06:19,07:08,13.16
164,2016-10-06,PC,8528 Foxborough,10.8,16:19,17:04,14.33
165,2016-10-04,8528 Foxborough,PC,10.8,06:18,07:04,14.02
166,2016-10-04,PC,8528 Foxborough,10.8,16:10,16:59,13.16
167,2016-10-03,8528 Foxborough,Savage Library,1.5,,,
168,2016-10-03,Savage Library,8528 Foxborough,1.5,,,
169,2016-10-03,8528 Foxborough,Columbia Mall,11.9,,,
170,2016-10-03,Columbia Mall,8528 Foxborough,8.3,,,
171,2016-09-24,8528 Foxborough,Savage Library,1.5,,,
172,2016-09-24,Savage Library,8528 Foxborough,1.5,,,
173,2016-09-24,8528 Foxborough,Grist Mill Bridge,14.5,,,
174,2016-09-24,Grist Mill Bridge,8528 Foxborough,15.6,,,
175,2016-09-21,8528 Foxborough,PC,10.8,,,
176,2016-09-21,PC,8528 Foxborough,10.8,,,
177,2016-09-20,8528 Foxborough,Savage Library,1.5,,,
178,2016-09-20,Savage Library,8528 Foxborough,1.5,,,
